2026-03-08 12:17:25.261840,1.70,480.9
2026-03-08 12:17:26.262860,2.96,479.0
2026-03-08 12:17:27.263291,3.02,482.9
2026-03-08 12:17:28.264212,2.76,480.9
2026-03-08 12:17:29.265192,3.14,473.1
2026-03-08 12:17:30.266240,1.26,473.1
2026-03-08 12:17:31.267237,3.08,471.2
2026-03-08 12:17:32.268208,3.02,475.1
2026-03-08 12:17:33.269256,1.41,479.0
2026-03-08 12:17:34.270319,3.08,477.0
2026-03-08 12:17:35.271376,1.67,479.0
2026-03-08 12:17:36.272447,2.93,479.0
2026-03-08 12:17:37.273514,1.09,479.0
2026-03-08 12:41:54.955771,0.73,416.4
2026-03-08 12:41:55.956809,1.47,416.4
2026-03-08 12:41:56.957215,2.70,420.3
2026-03-08 12:41:57.958241,2.79,414.5
2026-03-08 12:41:58.959210,1.00,408.6
2026-03-08 12:41:59.960177,2.67,402.7
2026-03-08 12:42:00.961222,2.67,385.1
2026-03-08 12:42:01.962139,2.73,369.5
2026-03-08 12:42:02.963186,0.76,353.9
2026-03-08 12:42:03.964246,2.35,342.1
2026-03-08 12:42:04.965301,1.17,332.4
2026-03-08 12:42:05.966366,1.14,326.5
2026-03-08 12:42:06.967437,1.61,316.7
2026-03-08 12:42:07.968480,2.64,308.9
2026-03-08 12:42:08.969533,1.20,293.3
2026-03-08 12:42:09.970012,2.96,285.4
2026-03-08 12:42:10.971008,2.87,277.6
2026-03-08 12:42:11.972002,0.88,275.7
2026-03-08 12:42:12.973026,1.73,271.7
2026-03-08 12:42:13.973997,2.29,273.7
2026-03-08 12:42:14.974913,1.91,275.7
2026-03-08 12:42:15.975948,1.11,273.7
2026-03-08 12:42:16.977010,1.20,271.7
2026-03-08 12:42:17.978068,3.31,265.9
2026-03-08 12:42:18.979134,1.61,258.1
2026-03-08 12:42:19.980863,2.79,256.1
2026-03-08 12:42:20.981247,1.17,252.2
2026-03-08 12:42:21.982315,2.82,242.4
2026-03-08 12:42:22.983336,2.52,234.6
2026-03-08 12:42:23.983787,1.23,234.6
2026-03-08 12:42:24.984727,1.06,232.6
2026-03-08 12:42:25.985721,2.35,228.7
2026-03-08 12:42:26.986690,0.65,230.7
2026-03-08 12:42:27.987678,1.55,240.5
2026-03-08 12:42:28.988711,2.46,238.5
2026-03-08 12:42:29.989774,2.61,250.2
2026-03-08 12:42:30.990844,2.08,260.0
2026-03-08 12:42:31.991900,2.38,275.7
2026-03-08 12:42:32.992946,1.82,285.4
2026-03-08 12:42:33.994014,3.08,295.2
2026-03-08 12:42:34.994485,2.43,308.9
2026-03-08 12:42:35.995514,2.02,310.9
2026-03-08 12:42:36.996574,2.46,314.8
2026-03-08 12:42:37.997458,1.55,328.4
2026-03-08 12:42:38.998472,1.55,330.4
2026-03-08 12:42:39.999477,2.02,328.4
2026-03-08 12:42:41.000453,1.14,338.2
2026-03-08 12:42:42.001473,2.90,332.4
2026-03-08 12:42:43.002549,2.29,338.2
2026-03-08 12:42:44.003599,2.14,344.1
2026-03-08 12:42:45.004658,2.43,346.0
2026-03-08 12:42:46.005728,1.44,353.9
2026-03-08 12:42:47.006786,1.35,357.8
2026-03-08 12:42:48.007825,1.14,361.7
2026-03-08 12:42:49.008276,2.43,359.7
2026-03-08 12:42:50.009215,2.76,367.5
2026-03-08 12:42:51.010279,2.82,369.5
2026-03-08 12:42:52.011286,2.58,361.7
2026-03-08 12:42:53.012199,2.82,377.3
2026-03-08 12:42:54.013247,0.85,375.4
2026-03-08 12:42:55.014235,0.41,385.1
2026-03-08 12:42:56.015296,1.03,379.3
2026-03-08 12:42:57.016362,0.94,381.2
2026-03-08 12:42:58.017408,1.17,387.1
2026-03-08 12:42:59.018468,2.14,385.1
2026-03-08 12:43:00.019531,2.38,391.0
2026-03-08 12:43:01.020591,1.85,391.0
2026-03-08 12:43:02.021025,0.47,393.0
2026-03-08 12:43:03.021984,0.59,393.0
2026-03-08 12:43:04.022991,2.38,394.9
2026-03-08 12:43:05.023952,1.09,396.9
2026-03-08 12:43:06.024926,1.76,398.8
2026-03-08 12:43:07.025970,2.43,398.8
2026-03-08 12:43:08.027002,1.99,400.8
2026-03-08 12:43:09.028060,2.26,406.6
2026-03-08 12:43:10.029114,1.64,400.8
2026-03-08 12:43:11.030167,0.91,404.7
2026-03-08 12:43:12.031235,2.08,408.6
2026-03-08 12:43:13.032305,0.94,408.6
2026-03-08 12:43:14.033356,2.26,410.6
2026-03-08 12:43:15.033736,2.29,410.6
2026-03-08 12:43:16.034775,2.38,408.6
2026-03-08 12:43:17.035764,1.79,406.6
2026-03-08 12:43:18.036704,1.17,406.6
2026-03-08 12:43:19.037734,1.44,406.6
2026-03-08 12:43:20.038730,1.99,406.6
2026-03-08 12:43:21.039759,0.62,404.7
2026-03-08 12:43:22.040831,2.52,406.6
2026-03-08 12:43:23.041879,0.82,408.6
2026-03-08 12:43:24.042934,0.67,408.6
2026-03-08 12:43:25.044008,2.14,412.5
2026-03-08 12:43:26.045060,0.82,410.6
2026-03-08 12:43:27.046115,1.00,412.5
2026-03-08 12:43:28.046537,0.62,412.5
2026-03-08 12:43:29.047474,0.47,412.5
2026-03-08 12:43:30.048480,0.47,414.5
2026-03-08 12:43:31.049470,0.65,414.5
2026-03-08 12:43:32.050431,0.76,410.6
2026-03-08 12:43:33.051464,2.17,406.6
2026-03-08 12:43:34.052518,1.47,400.8
2026-03-08 12:43:35.053579,3.02,396.9
2026-03-08 12:43:36.054642,1.09,394.9
2026-03-08 12:43:37.055707,2.64,394.9
2026-03-08 12:43:38.056769,2.70,398.8
2026-03-08 12:43:39.057812,2.11,394.9
2026-03-08 12:43:40.058263,0.15,396.9
2026-03-08 12:43:41.059255,0.73,391.0
2026-03-08 12:43:42.060232,2.35,383.2
2026-03-08 12:43:43.061231,0.29,377.3
2026-03-08 12:43:44.062222,0.85,375.4
2026-03-08 12:43:45.063230,2.17,379.3
2026-03-08 12:43:46.064229,0.53,363.6
2026-03-08 12:43:47.065284,0.26,346.0
2026-03-08 12:43:48.066339,1.61,330.4
2026-03-08 12:43:49.067427,1.67,312.8
2026-03-08 12:43:50.068473,1.99,303.0
2026-03-08 12:43:51.069526,0.82,285.4
2026-03-08 12:43:52.070571,0.38,275.7
2026-03-08 12:43:53.071035,0.29,269.8
2026-03-08 12:43:54.072037,0.94,258.1
2026-03-08 12:43:55.072997,0.15,250.2
2026-03-08 12:43:56.073972,1.61,246.3
2026-03-08 12:43:57.074954,0.85,236.6
2026-03-08 12:43:58.075941,0.06,236.6
2026-03-08 12:43:59.077000,1.20,238.5
2026-03-08 12:44:00.078049,0.21,224.8
2026-03-08 12:44:01.079098,1.41,219.0
2026-03-08 12:44:02.080162,0.15,220.9
2026-03-08 12:44:03.081216,0.00,215.1
2026-03-08 12:44:04.081683,0.18,211.1
2026-03-08 12:44:05.082620,0.23,209.2
2026-03-08 12:44:06.083641,0.03,205.3
2026-03-08 12:44:07.084594,2.17,197.5
2026-03-08 12:44:08.085558,2.84,199.4
2026-03-08 12:44:09.086572,1.26,195.5
2026-03-08 12:44:10.087612,2.02,193.5
2026-03-08 12:44:11.088685,1.11,193.5
2026-03-08 12:44:12.089745,1.14,189.6
2026-03-08 12:44:13.090814,2.96,183.8
2026-03-08 12:44:14.091862,1.03,187.7
2026-03-08 12:44:15.092920,3.02,183.8
2026-03-08 12:44:16.093355,0.88,179.9
2026-03-08 12:44:17.094336,0.79,174.0
2026-03-08 12:44:18.095307,0.67,170.1
2026-03-08 12:44:19.096337,1.79,168.1
2026-03-08 12:44:20.097271,2.61,162.3
2026-03-08 12:44:21.098265,1.76,168.1
2026-03-08 12:44:22.099339,0.88,164.2
2026-03-08 12:44:23.100390,2.26,164.2
2026-03-08 12:44:24.101449,1.38,160.3
2026-03-08 12:44:25.102523,2.87,164.2
2026-03-08 12:44:26.103571,2.79,164.2
2026-03-08 12:44:27.104630,1.32,158.4
2026-03-08 12:44:28.105044,1.32,156.4
2026-03-08 12:44:29.106021,1.50,158.4
2026-03-08 12:44:30.107057,2.43,152.5
2026-03-08 12:44:31.108049,0.97,148.6
2026-03-08 12:44:32.109020,2.02,152.5
2026-03-08 12:44:33.109980,2.35,154.4
2026-03-08 12:44:34.111034,1.85,146.6
2026-03-08 12:44:35.112092,0.44,150.5
2026-03-08 12:44:36.113149,1.70,146.6
2026-03-08 12:44:37.114229,2.55,146.6
2026-03-08 12:44:38.115274,2.26,148.6
2026-03-08 12:44:39.116330,2.40,142.7
2026-03-08 12:44:40.117383,1.06,144.7
2026-03-08 12:44:41.117728,2.23,144.7
2026-03-08 12:44:42.118729,0.67,140.8
2026-03-08 12:44:43.119673,1.29,142.7
2026-03-08 12:44:44.120672,1.29,140.8
2026-03-08 12:44:45.121680,2.11,146.6
2026-03-08 12:44:46.122737,0.62,154.4
2026-03-08 12:44:47.123791,2.32,162.3
2026-03-08 12:44:48.124851,2.32,183.8
2026-03-08 12:44:49.125929,1.44,195.5
2026-03-08 12:44:50.126977,2.70,209.2
2026-03-08 12:44:51.128029,2.79,228.7
2026-03-08 12:44:52.128482,2.32,248.3
2026-03-08 12:44:53.129465,2.43,252.2
2026-03-08 12:44:54.130420,2.35,275.7
2026-03-08 12:44:55.131487,1.70,283.5
2026-03-08 12:44:56.132452,2.20,285.4
2026-03-08 12:44:57.133398,1.35,285.4
2026-03-08 12:44:58.134446,1.76,283.5
2026-03-08 12:44:59.135491,1.26,285.4
2026-03-08 12:45:00.136550,2.49,293.3
2026-03-08 12:45:01.137623,1.94,295.2
2026-03-08 12:45:02.138679,1.47,306.9
2026-03-08 12:45:03.139733,3.08,316.7
2026-03-08 12:45:04.140805,1.91,312.8
2026-03-08 12:45:05.141267,1.14,322.6
2026-03-08 12:45:06.142899,2.82,324.5
2026-03-08 12:45:07.143306,0.97,324.5
2026-03-08 12:45:08.144275,2.43,332.4
2026-03-08 12:45:09.145260,2.38,332.4
2026-03-08 12:45:10.146238,2.02,332.4
2026-03-08 12:45:11.147201,1.88,334.3
2026-03-08 12:45:12.148256,1.73,330.4
2026-03-08 12:45:13.149328,0.67,326.5
2026-03-08 12:45:14.150381,0.85,310.9
2026-03-08 12:45:15.151429,0.62,295.2
